filename,filepath,total_rows,total_columns,analyzed_columns,filled_rows,incomplete_rows,empty_rows,empty_cell_percentage,data_dict_file,data_dict_status,total_variables,status
abcd_midr1bwdp202.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_midr1bwdp202.txt,17220,520,509,17145,20,55,0.39,NOT FOUND,no match,0,success
abcd_fes01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_fes01.txt,33516,21,10,1,33515,0,10.16,NOT FOUND,no match,0,success
abcd_ynm01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ynm01.txt,27891,107,96,1,27428,462,93.81,NOT FOUND,no match,0,success
biocf01.txt,/home/rif17002/honors_thesis/ABCD_files/biocf01.txt,11877,15,4,1,11848,28,72.0,NOT FOUND,no match,0,success
abcd_fbpay01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_fbpay01.txt,10415,23,12,1,6899,3515,40.16,NOT FOUND,no match,0,success
abcd_mtv01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mtv01.txt,119,87,76,119,0,0,0.0,NOT FOUND,no match,0,success
abcd_pksadscd01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_pksadscd01.txt,39767,285,274,1,39766,0,40.77,NOT FOUND,no match,0,success
abcd_mtpry01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mtpry01.txt,10415,34,23,1,87,10327,99.22,NOT FOUND,no match,0,success
abcd_mtpap01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mtpap01.txt,10415,52,41,1,10414,0,82.5,NOT FOUND,no match,0,success
smarte_sumscores01.txt,/home/rif17002/honors_thesis/ABCD_files/smarte_sumscores01.txt,6252,66,55,1,4105,2146,39.64,NOT FOUND,no match,0,success
abcd_tfsstr2bwdp201.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_tfsstr2bwdp201.txt,16291,126,115,16180,0,111,0.68,NOT FOUND,no match,0,success
abcd_ygi01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ygi01.txt,27891,20,9,1,27825,65,55.66,NOT FOUND,no match,0,success
abcd_pnhps01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_pnhps01.txt,16666,18,7,1,16626,39,31.44,NOT FOUND,no match,0,success
dibf01.txt,/home/rif17002/honors_thesis/ABCD_files/dibf01.txt,11877,92,81,1,11876,0,11.62,NOT FOUND,no match,0,success
abcd_y7mi01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_y7mi01.txt,17477,19,8,1,17458,18,12.59,NOT FOUND,no match,0,success
abcd_tbss01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_tbss01.txt,22291,108,97,1,21823,467,46.82,NOT FOUND,no match,0,success
dhx01.txt,/home/rif17002/honors_thesis/ABCD_files/dhx01.txt,11877,263,252,1,11876,0,73.92,NOT FOUND,no match,0,success
abcd_mrirstv02.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mrirstv02.txt,18990,462,451,1,18989,0,1.38,NOT FOUND,no match,0,success
soc_dev_fu_diff_emo_reg_p01.txt,/home/rif17002/honors_thesis/ABCD_files/soc_dev_fu_diff_emo_reg_p01.txt,1627,47,36,1612,0,15,0.92,NOT FOUND,no match,0,success
abcd_mrinback02.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mrinback02.txt,19178,592,581,2109,17069,0,2.32,NOT FOUND,no match,0,success
abcd_mhy02.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mhy02.txt,39767,111,100,1,39766,0,47.06,NOT FOUND,no match,0,success
smarte_trial_level_behav01.txt,/home/rif17002/honors_thesis/ABCD_files/smarte_trial_level_behav01.txt,1479,36,25,1,1478,0,95.94,NOT FOUND,no match,0,success
abcd_betnet02.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_betnet02.txt,18990,193,182,18777,213,0,0.5,NOT FOUND,no match,0,success
abcd_mx01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mx01.txt,11877,83,72,1,11876,0,29.51,NOT FOUND,no match,0,success
abcd_tmidr1semdp202.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_tmidr1semdp202.txt,17220,520,509,17145,20,55,0.39,NOT FOUND,no match,0,success
soc_dev_fu_rep_delinq_p01.txt,/home/rif17002/honors_thesis/ABCD_files/soc_dev_fu_rep_delinq_p01.txt,1627,66,55,1,1612,14,13.36,NOT FOUND,no match,0,success
abcd_yam01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_yam01.txt,27891,63,52,1,27590,300,86.53,NOT FOUND,no match,0,success
abcd_tr2semdp202.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_tr2semdp202.txt,16570,516,505,16482,27,61,0.45,NOT FOUND,no match,0,success
abcd_mhp02.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_mhp02.txt,39767,87,76,1,39766,0,80.43,NOT FOUND,no match,0,success
abcd_ysu02.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ysu02.txt,11877,777,766,1,11876,0,77.43,NOT FOUND,no match,0,success
abcd_socdev_child_pdis01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_socdev_child_pdis01.txt,2301,131,120,2240,54,7,0.33,NOT FOUND,no match,0,success
abcd_ssphy01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ssphy01.txt,39767,22,11,1,39766,0,66.98,NOT FOUND,no match,0,success
abcd_pfb01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_pfb01.txt,165,13,2,165,0,0,0.0,NOT FOUND,no match,0,success
abcd_ssphp01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ssphp01.txt,39767,47,36,1,39766,0,25.52,NOT FOUND,no match,0,success
soc_dev_fu_alabama01.txt,/home/rif17002/honors_thesis/ABCD_files/soc_dev_fu_alabama01.txt,1627,67,56,1377,242,8,3.4,NOT FOUND,no match,0,success
soc_dev_fu_firearms01.txt,/home/rif17002/honors_thesis/ABCD_files/soc_dev_fu_firearms01.txt,1627,14,3,3,1617,7,33.56,NOT FOUND,no match,0,success
abcd_midasemp202.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_midasemp202.txt,17233,691,680,17153,34,46,0.35,NOT FOUND,no match,0,success
soc_dev_fu_alabama_p01.txt,/home/rif17002/honors_thesis/ABCD_files/soc_dev_fu_alabama_p01.txt,1627,53,42,1612,0,15,0.92,NOT FOUND,no match,0,success
abcd_dti_p201.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_dti_p201.txt,19588,437,426,18710,878,0,4.44,NOT FOUND,no match,0,success
nbackr1sem01.txt,/home/rif17002/honors_thesis/ABCD_files/nbackr1sem01.txt,16852,905,894,16692,160,0,0.64,NOT FOUND,no match,0,success
abcd_rhds01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_rhds01.txt,39767,703,692,1,32634,7132,86.07,NOT FOUND,no match,0,success
abcd_ysaag01.txt,/home/rif17002/honors_thesis/ABCD_files/abcd_ysaag01.txt,16666,14,3,1,16624,41,33.51,NOT FOUND,no match,0,success
