"subjectkey","subjectkey_numeric","class","prob1","prob2","prob3","prob4","prob5"
"NDAR_INV003RTV85",1,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV005V6D2C",2,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV007W6H7B",3,4,9.1486451023035e-05,4.09105190399082e-15,0.433431229607851,0.566470735425324,6.54851579805409e-06
"NDAR_INV00BD7VDC",4,4,0.000113433544832864,1.72469057764635e-12,0.432815904704056,0.565673896094703,0.00139676565468426
"NDAR_INV00CY2MDM",5,2,0.000111457318888806,0.999887623649696,1.21426787884468e-14,1.58725654672971e-14,9.19031386719218e-07
"NDAR_INV00HEV6HB",6,5,0.0338921262529388,7.60698077584093e-05,0.0030516716086692,0.00398860134533753,0.958991530985296
"NDAR_INV00J52GPG",7,4,0.00154611543453923,4.95108610589335e-09,0.298567126533446,0.390219074593853,0.309667678487075
"NDAR_INV00LH735Y",8,4,8.19882328581504e-06,1.87429126244232e-17,0.43346595992868,0.56651386238946,1.19788585741722e-05
"NDAR_INV00LJVZK2",9,1,0.998943734422893,4.84039129053871e-06,0.000216043275846255,0.000282387120606787,0.000552994789363615
"NDAR_INV00NPMHND",10,4,0.129266452196296,5.79628312248117e-05,0.268275921025293,0.350640134694822,0.251759529252364
"NDAR_INV00R4TXET",11,1,0.851239967298396,5.02970227940336e-10,0.0644201594768505,0.0842003386463656,0.000139534075418006
"NDAR_INV00U4FTRU",12,1,0.999363226370309,1.44100601792428e-05,7.38464954641753e-05,9.65242623489646e-05,0.000451992811698528
"NDAR_INV00UMK5VC",13,4,7.63223311169004e-06,6.44519841046098e-15,0.433174233927112,0.566131299318713,0.000686834521056921
"NDAR_INV00X2TBWJ",14,4,8.19882328581504e-06,1.87429126244232e-17,0.43346595992868,0.56651386238946,1.19788585741722e-05
"NDAR_INV010ZM3H9",15,1,0.920225602914782,0.000204675784383949,0.00178806005403676,0.00233710617501469,0.0754445550717831
"NDAR_INV014RTM1V",16,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV0182J779",17,1,0.481465313586794,3.24954872673163e-05,0.0304429261893353,0.0397899749518578,0.448269289784745
"NDAR_INV0191C80U",18,4,2.87840540059657e-05,7.29097836751891e-15,0.433432098314567,0.566470264948691,6.88526827285595e-05
"NDAR_INV019DXLU4",19,5,0.000150809048850762,0.000230786852993033,3.62505232474731e-05,4.7379811590522e-05,0.999534773763318
"NDAR_INV01AJ15N9",20,4,9.09116045886799e-05,2.00755239335609e-15,0.433410060802816,0.566450575074946,4.84525176465995e-05
"NDAR_INV01D03VR7",21,4,0.245888397993173,2.29310868281055e-07,0.267757743357282,0.349964016797617,0.136389612541059
"NDAR_INV01ELX9L6",22,1,0.662782892935341,7.71893189332026e-07,0.113941130090594,0.148924746531426,0.0743504585494491
"NDAR_INV01EN91PG",23,4,0.209722025332003,5.25875503296591e-10,0.341273866238995,0.446050548808106,0.00295355909502025
"NDAR_INV01NAYMZH",24,4,0.000966724777462503,6.49387124854914e-14,0.432966760321615,0.565876601404073,0.000189913496785165
"NDAR_INV01RGTWD2",25,1,0.467356306113302,3.43445697530665e-07,0.178367108344262,0.233129509387267,0.121146732709471
"NDAR_INV01TXCDJN",26,4,5.55987816622266e-06,5.14685871650397e-14,0.433107230385916,0.566044091184188,0.000843118551679008
"NDAR_INV01Z8HAPV",27,1,0.572415782856437,0.134327713166351,3.06147591022904e-05,4.00160257584408e-05,0.293185873192351
"NDAR_INV021403LF",28,4,0.0560327955280853,7.39446873794839e-10,0.404175227215486,0.528257749060414,0.0115342274565677
"NDAR_INV021N0FLH",29,4,0.00129144729934041,2.29365205318257e-09,0.337149043092999,0.440644011408359,0.22091549590565
"NDAR_INV022ZVCT8",30,5,0.307757701972833,0.0399337418144454,0.000612276590577829,0.000800282435808605,0.650895997186336
"NDAR_INV028D3ELL",31,4,0.00320542890037771,6.53917609533733e-10,0.397499559238242,0.519521767525447,0.0797732436820157
"NDAR_INV028WCTG6",32,4,4.62408939377797e-06,8.29692065713324e-17,0.433457271263093,0.566501677417837,3.64272296758305e-05
"NDAR_INV029PWCFY",33,4,0.000148390050471368,1.4180880115014e-13,0.433034968397694,0.565959887845758,0.000856753705935302
"NDAR_INV02EBX0JJ",34,5,0.000351418311408383,3.35397698074643e-05,0.00020136510470124,0.000263184460587867,0.999150492353495
"NDAR_INV02H7G2T6",35,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV02JXJUZG",36,4,9.09116045886799e-05,2.00755239335609e-15,0.433410060802816,0.566450575074946,4.84525176465995e-05
"NDAR_INV02RCED7D",37,4,4.7666855331484e-06,5.35333940467125e-19,0.433472197621941,0.566521840230986,1.19546154035242e-06
"NDAR_INV02UVMTY7",38,4,4.37592784498414e-05,1.52954913674352e-17,0.433451297898877,0.5665018364355,3.10638717354613e-06
